Date	Open	High	Low	Close 	Adj Close 	Volume
Jan 29, 2025	27.80	27.89	27.34	27.63	27.63	2,500,485
Jan 28, 2025	27.56	28.07	27.49	27.80	27.80	3,080,500
Jan 27, 2025	27.32	27.66	27.23	27.49	27.49	2,326,400
Jan 24, 2025	27.43	27.74	27.30	27.44	27.44	1,936,500
Jan 23, 2025	27.34	27.66	27.30	27.49	27.49	2,791,400
Jan 22, 2025	27.23	27.52	26.96	27.48	27.48	3,669,100
Jan 21, 2025	27.55	27.75	27.29	27.32	27.32	2,499,400
Jan 17, 2025	27.68	27.71	27.41	27.52	27.52	3,125,100
Jan 16, 2025	27.69	27.69	27.24	27.32	27.32	2,003,000
Jan 15, 2025	27.54	27.68	27.20	27.57	27.57	3,028,800
Jan 14, 2025	27.03	27.18	26.93	27.14	27.14	3,341,100
Jan 13, 2025	26.77	26.91	26.55	26.85	26.85	2,313,200
Jan 10, 2025	26.83	27.04	26.68	26.90	26.90	3,139,000
Jan 8, 2025	26.96	27.13	26.67	27.11	27.11	3,369,300
Jan 7, 2025	27.40	27.51	26.86	26.98	26.98	2,548,800
Jan 6, 2025	27.49	27.96	27.40	27.43	27.43	2,985,500
Jan 3, 2025	27.65	27.65	27.17	27.50	27.50	2,441,200
Jan 2, 2025	27.70	27.78	27.36	27.48	27.48	2,089,100
Dec 31, 2024	27.46	27.56	27.26	27.38	27.38	1,810,200
Dec 30, 2024	27.46	27.53	27.04	27.38	27.38	1,851,000
Dec 27, 2024	27.65	27.88	27.41	27.65	27.65	1,965,100
Dec 26, 2024	27.71	27.92	27.68	27.86	27.86	1,425,100
Dec 24, 2024	27.77	27.89	27.69	27.85	27.85	1,372,400
Dec 23, 2024	27.81	27.93	27.58	27.69	27.69	3,015,300
Dec 20, 2024	27.40	28.14	27.27	27.83	27.83	13,749,900
Dec 19, 2024	27.90	28.06	27.42	27.45	27.45	4,770,500
Dec 18, 2024	29.50	29.50	27.71	27.73	27.73	4,768,900
Dec 17, 2024	29.62	29.81	29.31	29.38	29.38	3,538,200
Dec 16, 2024	29.72	29.98	29.44	29.73	29.73	4,336,100
Dec 13, 2024	29.96	30.10	29.70	29.86	29.86	3,619,000
Dec 12, 2024	29.72	30.21	29.60	30.02	30.02	3,227,500
Dec 11, 2024	30.04	30.08	29.55	29.92	29.92	3,732,300
Dec 10, 2024	31.13	31.26	29.26	29.82	29.82	5,373,500
Dec 9, 2024	31.14	31.29	30.41	30.48	30.48	2,716,300
Dec 6, 2024	31.32	31.38	30.96	31.15	31.15	2,612,300
Dec 5, 2024	31.48	31.56	31.13	31.25	31.25	3,290,600
Dec 4, 2024	31.11	31.72	31.03	31.70	31.70	2,698,500
Dec 3, 2024	30.90	31.04	30.74	30.84	30.84	2,844,300
Dec 2, 2024	30.82	31.05	30.56	30.93	30.93	3,877,100
Nov 29, 2024	30.99	31.20	30.82	30.85	30.85	1,909,900
Nov 27, 2024	31.00	31.13	30.59	30.84	30.84	2,441,300
Nov 26, 2024	30.63	30.94	30.49	30.90	30.90	2,871,100
Nov 25, 2024	30.50	30.79	30.37	30.62	30.62	7,137,400
Nov 22, 2024	29.96	30.31	29.89	30.19	30.19	2,545,600
Nov 21, 2024	29.54	30.04	29.37	29.81	29.81	2,393,400
Nov 20, 2024	29.21	29.55	28.90	29.44	29.44	3,457,000
Nov 19, 2024	29.07	29.32	28.89	29.24	29.24	2,354,700
Nov 18, 2024	0.13 Dividend
Nov 18, 2024	29.59	29.74	29.07	29.28	29.28	2,002,100
Nov 15, 2024	29.99	30.07	29.48	29.58	29.45	2,332,500
Nov 14, 2024	30.49	30.55	29.99	30.04	29.91	2,147,500
Nov 13, 2024	30.62	30.89	30.46	30.51	30.38	2,712,300
Nov 12, 2024	30.06	30.56	30.01	30.53	30.40	3,450,200
Nov 11, 2024	29.69	30.55	29.64	30.37	30.24	4,121,700
Nov 8, 2024	29.69	29.89	29.47	29.53	29.41	2,950,600
Nov 7, 2024	29.21	29.59	29.02	29.55	29.43	4,469,800
Nov 6, 2024	29.05	29.34	28.87	29.12	29.00	5,502,600
Nov 5, 2024	28.20	28.64	28.13	28.53	28.41	4,085,800
Nov 4, 2024	28.23	28.47	28.13	28.24	28.12	3,307,600
Nov 1, 2024	28.78	29.19	28.12	28.27	28.15	4,854,200
Oct 31, 2024	27.65	30.03	27.65	29.11	28.99	10,898,100
Oct 30, 2024	26.94	27.38	26.87	26.91	26.80	3,181,100
Oct 29, 2024	27.03	27.26	26.96	27.11	27.00	2,726,500
Oct 28, 2024	26.83	27.27	26.83	27.03	26.92	2,195,500
Oct 25, 2024	27.15	27.22	26.86	26.97	26.86	1,825,400
