Date	Open	High	Low	Close 	Adj Close 	Volume
Jan 29, 2025	30.54	30.55	30.04	30.18	30.18	1,568,285
Jan 28, 2025	31.29	31.45	30.36	30.46	30.46	2,449,200
Jan 27, 2025	31.38	31.95	31.24	31.45	31.45	2,775,600
Jan 24, 2025	30.78	31.03	30.66	30.88	30.88	1,518,600
Jan 23, 2025	30.30	30.93	30.18	30.86	30.86	2,138,400
Jan 22, 2025	30.89	30.89	30.28	30.35	30.35	2,217,800
Jan 21, 2025	29.91	30.89	29.87	30.86	30.86	3,362,300
Jan 17, 2025	29.75	30.00	29.70	29.93	29.93	2,515,100
Jan 16, 2025	29.45	29.94	29.12	29.89	29.89	2,894,800
Jan 15, 2025	30.14	30.19	29.36	29.60	29.60	2,851,200
Jan 14, 2025	29.95	30.32	29.72	30.01	30.01	2,150,300
Jan 13, 2025	0.29 Dividend
Jan 13, 2025	29.95	30.39	29.80	30.26	30.26	3,314,200
Jan 10, 2025	30.28	30.60	29.82	30.05	29.76	3,194,500
Jan 8, 2025	30.18	30.47	29.99	30.44	30.15	2,030,000
Jan 7, 2025	30.86	31.24	30.08	30.14	29.85	2,262,500
Jan 6, 2025	31.32	31.33	30.51	30.68	30.38	2,071,300
Jan 3, 2025	31.33	31.56	31.19	31.36	31.06	1,817,400
Jan 2, 2025	31.49	31.72	31.38	31.52	31.22	1,452,200
Dec 31, 2024	31.21	31.41	31.01	31.37	31.07	1,529,000
Dec 30, 2024	31.75	31.77	31.11	31.20	30.90	1,626,300
Dec 27, 2024	31.48	32.00	31.48	31.85	31.54	1,718,600
Dec 26, 2024	31.45	31.77	31.38	31.68	31.37	1,253,000
Dec 24, 2024	31.49	31.76	31.35	31.61	31.30	844,000
Dec 23, 2024	31.48	31.71	31.34	31.55	31.25	1,845,800
Dec 20, 2024	31.64	31.89	31.52	31.68	31.37	4,859,800
Dec 19, 2024	31.65	31.94	31.45	31.58	31.28	2,889,300
Dec 18, 2024	31.75	32.16	31.34	31.90	31.59	4,278,500
Dec 17, 2024	32.22	32.70	32.04	32.15	31.84	2,710,000
Dec 16, 2024	32.88	33.12	32.33	32.34	32.03	2,665,000
Dec 13, 2024	33.00	33.11	32.63	32.94	32.62	2,508,600
Dec 12, 2024	33.32	33.32	32.81	33.04	32.72	1,633,600
Dec 11, 2024	33.77	33.80	33.13	33.13	32.81	3,725,900
Dec 10, 2024	33.19	33.76	32.93	33.55	33.23	2,393,700
Dec 9, 2024	32.38	33.31	32.38	33.18	32.86	2,633,100
Dec 6, 2024	32.98	33.05	32.44	32.47	32.16	2,147,600
Dec 5, 2024	32.14	32.92	32.00	32.86	32.54	3,162,900
