Date	Open	High	Low	Close 	Adj Close 	Volume
Jan 29, 2025	24.71	24.98	24.20	24.23	24.23	32,677,122
Jan 28, 2025	24.06	24.58	23.92	24.40	24.40	55,731,400
Jan 27, 2025	23.50	24.37	23.35	24.14	24.14	92,445,200
Jan 24, 2025	22.55	22.79	22.54	22.72	22.72	44,409,200
Jan 23, 2025	22.34	22.66	22.22	22.53	22.53	32,125,200
Jan 22, 2025	22.38	22.48	22.02	22.32	22.32	31,676,400
Jan 21, 2025	22.21	22.54	22.21	22.49	22.49	36,777,600
Jan 17, 2025	22.09	22.37	21.98	22.29	22.29	33,638,000
Jan 16, 2025	22.00	22.13	21.84	22.02	22.02	25,639,600
Jan 15, 2025	21.98	22.09	21.88	21.91	21.91	50,559,900
Jan 14, 2025	21.52	21.82	21.38	21.80	21.80	25,627,300
Jan 13, 2025	21.63	21.68	21.40	21.56	21.56	37,865,600
Jan 10, 2025	0.28 Dividend
Jan 10, 2025	21.88	22.04	21.49	21.69	21.69	41,572,400
Jan 8, 2025	22.13	22.25	21.66	22.18	21.90	35,517,800
Jan 7, 2025	22.54	22.65	22.16	22.20	21.92	37,143,500
Jan 6, 2025	22.76	22.77	22.53	22.60	22.32	34,416,000
Jan 3, 2025	22.90	22.96	22.65	22.67	22.39	26,874,900
Jan 2, 2025	22.83	23.17	22.80	22.83	22.54	27,108,200
Dec 31, 2024	22.62	22.85	22.60	22.77	22.48	22,342,800
Dec 30, 2024	22.78	22.78	22.44	22.61	22.33	25,420,000
Dec 27, 2024	22.88	23.07	22.82	22.86	22.57	18,547,500
Dec 26, 2024	22.93	23.15	22.88	22.96	22.67	16,440,500
Dec 24, 2024	22.84	22.99	22.76	22.95	22.66	9,605,900
Dec 23, 2024	22.67	22.87	22.59	22.84	22.55	24,655,600
Dec 20, 2024	22.59	22.75	22.52	22.75	22.46	93,984,000
Dec 19, 2024	22.51	22.68	22.41	22.57	22.29	43,160,800
Dec 18, 2024	22.80	22.99	22.46	22.48	22.20	38,897,400
Dec 17, 2024	22.80	22.98	22.67	22.83	22.54	39,844,700
Dec 16, 2024	23.71	23.81	22.61	22.84	22.55	48,018,100
Dec 13, 2024	23.37	23.67	23.26	23.63	23.33	33,693,900
Dec 12, 2024	23.58	23.74	23.36	23.36	23.07	22,015,000
Dec 11, 2024	23.43	23.54	23.14	23.48	23.19	38,518,100
Dec 10, 2024	23.41	23.66	23.11	23.51	23.22	32,851,500
Dec 9, 2024	23.90	23.99	23.34	23.37	23.08	38,385,900
Dec 6, 2024	23.83	23.90	23.56	23.88	23.58	34,218,800
Dec 5, 2024	23.61	23.89	23.58	23.83	23.53	40,155,600
Dec 4, 2024	23.67	23.83	23.37	23.53	23.24	41,534,200
Dec 3, 2024	23.41	24.03	23.38	23.74	23.44	63,128,700
Dec 2, 2024	23.15	23.16	22.64	22.70	22.42	44,160,600
Nov 29, 2024	23.27	23.31	23.01	23.16	22.87	19,673,900
Nov 27, 2024	23.20	23.38	23.01	23.27	22.98	33,206,300
Nov 26, 2024	22.94	23.11	22.87	23.09	22.80	30,080,300
Nov 25, 2024	23.15	23.32	22.95	23.10	22.81	64,729,800
Nov 22, 2024	23.05	23.29	22.94	23.18	22.89	35,732,900
Nov 21, 2024	22.80	23.15	22.73	22.98	22.69	23,080,900
Nov 20, 2024	22.80	22.90	22.74	22.83	22.54	20,423,100
Nov 19, 2024	22.88	22.92	22.68	22.73	22.45	24,727,700
Nov 18, 2024	22.79	23.20	22.78	22.99	22.70	35,675,500
Nov 15, 2024	22.24	22.75	22.20	22.68	22.40	40,207,300
Nov 14, 2024	22.30	22.46	22.22	22.25	21.97	20,825,100
Nov 13, 2024	22.17	22.39	22.06	22.30	22.02	29,345,600
Nov 12, 2024	22.21	22.29	21.79	22.15	21.87	39,579,500
Nov 11, 2024	22.28	22.48	22.25	22.31	22.03	23,465,000
Nov 8, 2024	22.05	22.43	22.05	22.34	22.06	29,901,600
Nov 7, 2024	22.39	22.39	21.96	22.04	21.76	31,471,800
Nov 6, 2024	22.11	22.39	21.97	22.32	22.04	32,259,200
Nov 5, 2024	21.90	22.17	21.83	22.05	21.77	26,461,800
Nov 4, 2024	22.14	22.25	21.79	21.92	21.65	24,318,500
Nov 1, 2024	22.53	22.73	22.07	22.12	21.84	37,170,000
Oct 31, 2024	22.06	22.60	22.03	22.54	22.26	59,566,700
Oct 30, 2024	22.13	22.26	21.90	22.02	21.74	36,264,900
Oct 29, 2024	21.99	22.36	21.92	22.18	21.90	32,711,100
Oct 28, 2024	21.92	22.15	21.82	22.11	21.83	27,923,800
Oct 25, 2024	22.30	22.41	21.81	21.83	21.56	26,050,400
Oct 24, 2024	22.40	22.48	22.06	22.20	21.92	38,783,100
Oct 23, 2024	21.24	22.58	21.05	22.49	22.21	71,932,600
Oct 22, 2024	21.25	21.62	21.05	21.50	21.23	47,781,900
Oct 21, 2024	21.88	21.97	21.65	21.66	21.39	29,366,200
Oct 18, 2024	21.73	22.06	21.63	21.85	21.58	27,277,400
Oct 17, 2024	21.56	21.77	21.53	21.73	21.46	25,471,200
Oct 16, 2024	21.52	21.76	21.48	21.71	21.44	23,926,900
Oct 15, 2024	21.39	21.61	21.23	21.51	21.24	35,942,600
Oct 14, 2024	21.36	21.41	21.26	21.26	20.99	33,512,200
Oct 11, 2024	21.30	21.45	21.22	21.37	21.10	25,249,800
Oct 10, 2024	0.28 Dividend
Oct 10, 2024	21.60	21.68	21.21	21.22	20.95	28,738,500
Oct 9, 2024	21.87	22.00	21.79	21.93	21.38	25,365,400
Oct 8, 2024	21.92	21.98	21.72	21.86	21.31	22,716,400
Oct 7, 2024	21.91	21.91	21.67	21.78	21.23	23,116,300
Oct 4, 2024	21.70	21.98	21.48	21.91	21.36	24,539,300
Oct 3, 2024	22.13	22.23	21.97	22.05	21.50	28,894,700
Oct 2, 2024	22.05	22.24	22.00	22.19	21.63	29,820,100
Oct 1, 2024	21.93	22.15	21.84	22.13	21.58	32,705,500
Sep 30, 2024	22.00	22.07	21.67	22.00	21.45	26,260,200
Sep 27, 2024	21.72	21.94	21.68	21.90	21.35	23,577,700
Sep 26, 2024	21.49	21.76	21.43	21.65	21.11	25,497,500
Sep 25, 2024	21.62	21.74	21.52	21.56	21.02	28,334,800
Sep 24, 2024	21.38	21.66	21.31	21.59	21.05	25,905,500
Sep 23, 2024	21.54	21.60	21.36	21.49	20.95	25,550,300
Sep 20, 2024	21.30	21.62	21.23	21.54	21.00	94,156,500
