<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEN.US,60,20240403,160000,22.01,22.07,21.91,21.92,111047,0
GEN.US,60,20240403,170000,21.94,22.205,21.91,22.17,226800,0
GEN.US,60,20240403,180000,22.165,22.165,22.065,22.065,119043,0
GEN.US,60,20240403,190000,22.065,22.165,22.045,22.1,154242,0
GEN.US,60,20240403,200000,22.1,22.155,22.075,22.105,92370,0
GEN.US,60,20240403,210000,22.11,22.125,22.06,22.065,143709,0
GEN.US,60,20240403,220000,22.065,22.09,21.98,22.06,1135529,0
GEN.US,60,20240404,160000,22.24,22.45,22.17,22.44,255791,0
GEN.US,60,20240404,170000,22.44,22.58,22.395,22.48,206331,0
GEN.US,60,20240404,180000,22.475,22.575,22.395,22.565,202855,0
GEN.US,60,20240404,190000,22.56,22.63,22.5137,22.625,250707,0
GEN.US,60,20240404,200000,22.625,22.63,22.51,22.515,152168,0
GEN.US,60,20240404,210000,22.51,22.515,22.12,22.135,250653,0
GEN.US,60,20240404,220000,22.135,22.15,22.005,22.03,1041856,0
GEN.US,60,20240405,160000,21.97,22.085,21.96,22.055,74066,0
GEN.US,60,20240405,170000,22.05,22.09,21.87,22.085,215376,0
GEN.US,60,20240405,180000,22.085,22.12,21.995,22.11,153764,0
GEN.US,60,20240405,190000,22.11,22.19,22.095,22.185,135820,0
GEN.US,60,20240405,200000,22.185,22.23,22.12,22.145,167925,0
GEN.US,60,20240405,210000,22.14,22.165,22.1,22.115,126666,0
GEN.US,60,20240405,220000,22.115,22.19,22.115,22.15,528825,0
GEN.US,60,20240408,160000,22.21,22.41,22.17,22.225,95452,0
GEN.US,60,20240408,170000,22.23,22.42,22.195,22.415,230384,0
GEN.US,60,20240408,180000,22.41,22.495,22.39,22.465,283449,0
GEN.US,60,20240408,190000,22.46,22.505,22.44,22.495,273283,0
GEN.US,60,20240408,200000,22.495,22.5,22.41,22.445,183014,0
GEN.US,60,20240408,210000,22.44,22.4401,22.225,22.245,138559,0
GEN.US,60,20240408,220000,22.24,22.29,22.2,22.285,283747,0
GEN.US,60,20240409,160000,22.44,22.53,22.38,22.45,80384,0
GEN.US,60,20240409,170000,22.45,22.61,22.31,22.325,150151,0
GEN.US,60,20240409,180000,22.32,22.475,22.255,22.455,154079,0
GEN.US,60,20240409,190000,22.46,22.475,22.37,22.385,91355,0
GEN.US,60,20240409,200000,22.38,22.46,22.37,22.41,103846,0
GEN.US,60,20240409,210000,22.4,22.51,22.39,22.505,314236,0
GEN.US,60,20240409,220000,22.5,22.69,22.45,22.66,802847,0
GEN.US,60,20240410,160000,22.23,22.62,22.225,22.355,185485,0
GEN.US,60,20240410,170000,22.35,22.62,22.24,22.41,1018402,0
GEN.US,60,20240410,180000,22.415,22.47,22.33,22.345,264220,0
GEN.US,60,20240410,190000,22.35,22.42,22.33,22.415,265449,0
GEN.US,60,20240410,200000,22.415,22.475,22.31,22.4,264105,0
GEN.US,60,20240410,210000,22.41,22.45,22.265,22.27,291754,0
GEN.US,60,20240410,220000,22.27,22.39,22.23,22.33,553577,0
GEN.US,60,20240411,160000,21.89,21.97,21.49,21.515,464576,0
GEN.US,60,20240411,170000,21.525,21.56,21.2,21.355,830736,0
GEN.US,60,20240411,180000,21.355,21.37,21.07,21.11,562530,0
GEN.US,60,20240411,190000,21.11,21.12,21,21.02,454652,0
GEN.US,60,20240411,200000,21.02,21.1,20.905,21.045,593245,0
GEN.US,60,20240411,210000,21.05,21.15,21.02,21.11,306070,0
GEN.US,60,20240411,220000,21.11,21.115,20.985,20.995,1048065,0
GEN.US,60,20240412,160000,20.812,21.03,20.74,21.01,189076,0
GEN.US,60,20240412,170000,21.01,21.15,20.915,20.935,295208,0
GEN.US,60,20240412,180000,20.93,21.135,20.93,21.085,238200,0
GEN.US,60,20240412,190000,21.08,21.085,20.875,20.8939,247847,0
GEN.US,60,20240412,200000,20.89,20.9391,20.795,20.87,241645,0
GEN.US,60,20240412,210000,20.875,20.935,20.835,20.89,227691,0
GEN.US,60,20240412,220000,20.89,20.94,20.78,20.925,666591,0
GEN.US,60,20240415,160000,21.09,21.24,21.03,21.05,150604,0
GEN.US,60,20240415,170000,21.065,21.065,20.76,20.83,218573,0
GEN.US,60,20240415,180000,20.83,20.97,20.79,20.97,186068,0
GEN.US,60,20240415,190000,20.965,21,20.87,20.95,179552,0
GEN.US,60,20240415,200000,20.94,20.95,20.62,20.69,225904,0
GEN.US,60,20240415,210000,20.69,20.695,20.56,20.56,188726,0
GEN.US,60,20240415,220000,20.56,20.62,20.455,20.59,897145,0
GEN.US,60,20240416,160000,20.62,20.62,20.4561,20.6,66373,0
GEN.US,60,20240416,170000,20.61,20.61,20.4,20.445,264221,0
GEN.US,60,20240416,180000,20.445,20.565,20.44,20.525,323728,0
GEN.US,60,20240416,190000,20.53,20.595,20.47,20.595,87043,0
GEN.US,60,20240416,200000,20.595,20.61,20.5,20.57,117945,0
GEN.US,60,20240416,210000,20.57,20.69,20.52,20.625,111070,0
GEN.US,60,20240416,220000,20.62,20.6205,20.44,20.44,412489,0
GEN.US,60,20240417,160000,20.46,20.7,20.4001,20.63,131457,0
GEN.US,60,20240417,170000,20.63,20.72,20.485,20.525,313327,0
GEN.US,60,20240417,180000,20.525,20.575,20.415,20.46,161046,0
GEN.US,60,20240417,190000,20.455,20.48,20.375,20.39,297678,0
GEN.US,60,20240417,200000,20.385,20.47,20.37,20.455,97420,0
GEN.US,60,20240417,210000,20.455,20.51,20.385,20.415,120462,0
GEN.US,60,20240417,220000,20.41,20.435,20.3538,20.37,381538,0
GEN.US,60,20240418,160000,20.45,20.465,20.29,20.465,61107,0
GEN.US,60,20240418,170000,20.47,20.515,20.355,20.495,371681,0
GEN.US,60,20240418,180000,20.49,20.53,20.42,20.5,252381,0
GEN.US,60,20240418,190000,20.5,20.54,20.385,20.415,214159,0
GEN.US,60,20240418,200000,20.415,20.45,20.37,20.425,130891,0
GEN.US,60,20240418,210000,20.425,20.425,20.29,20.33,158132,0
GEN.US,60,20240418,220000,20.32,20.405,20.32,20.38,760497,0
GEN.US,60,20240419,160000,20.52,20.58,20.41,20.565,180492,0
GEN.US,60,20240419,170000,20.555,20.68,20.55,20.55,162736,0
GEN.US,60,20240419,180000,20.55,20.6,20.49,20.545,118547,0
GEN.US,60,20240419,190000,20.54,20.555,20.43,20.525,99128,0
GEN.US,60,20240419,200000,20.52,20.62,20.495,20.59,110925,0
GEN.US,60,20240419,210000,20.585,20.585,20.435,20.4899,185934,0
GEN.US,60,20240419,220000,20.485,20.545,20.44,20.5,1160722,0
GEN.US,60,20240422,160000,20.73,20.74,20.415,20.441,232129,0
GEN.US,60,20240422,170000,20.445,20.545,20.36,20.365,279936,0
GEN.US,60,20240422,180000,20.36,20.38,20.23,20.295,413636,0
GEN.US,60,20240422,190000,20.295,20.42,20.295,20.385,261476,0
GEN.US,60,20240422,200000,20.39,20.605,20.37,20.59,168578,0
GEN.US,60,20240422,210000,20.59,20.65,20.53,20.565,169105,0
GEN.US,60,20240422,220000,20.57,20.595,20.475,20.5,586182,0
GEN.US,60,20240423,160000,20.58,20.88,20.575,20.835,178694,0
GEN.US,60,20240423,170000,20.835,20.91,20.68,20.73,339256,0
GEN.US,60,20240423,180000,20.73,20.74,20.64,20.73,148411,0
GEN.US,60,20240423,190000,20.72,20.8,20.695,20.785,285803,0
GEN.US,60,20240423,200000,20.775,20.775,20.67,20.69,202138,0
GEN.US,60,20240423,210000,20.69,20.75,20.67,20.74,225403,0
GEN.US,60,20240423,220000,20.735,20.74,20.635,20.6775,561628,0
GEN.US,60,20240424,160000,20.7,20.79,20.58,20.63,130949,0
GEN.US,60,20240424,170000,20.61,20.69,20.58,20.605,176763,0
GEN.US,60,20240424,180000,20.605,20.66,20.515,20.55,144436,0
GEN.US,60,20240424,190000,20.54,20.615,20.51,20.615,177129,0
GEN.US,60,20240424,200000,20.615,20.74,20.585,20.725,136654,0
GEN.US,60,20240424,210000,20.725,20.76,20.69,20.745,130832,0
GEN.US,60,20240424,220000,20.74,20.86,20.705,20.83,828391,0
GEN.US,60,20240425,160000,20.61,20.64,20.45,20.495,100543,0
GEN.US,60,20240425,170000,20.49,20.54,20.395,20.405,135135,0
GEN.US,60,20240425,180000,20.41,20.575,20.41,20.56,190338,0
GEN.US,60,20240425,190000,20.565,20.575,20.509,20.5301,107146,0
GEN.US,60,20240425,200000,20.535,20.605,20.49,20.6,103133,0
GEN.US,60,20240425,210000,20.59,20.64,20.545,20.57,127565,0
GEN.US,60,20240425,220000,20.575,20.675,20.53,20.55,954516,0
GEN.US,60,20240426,160000,20.62,20.75,20.53,20.69,86202,0
GEN.US,60,20240426,170000,20.685,20.87,20.685,20.835,185208,0
GEN.US,60,20240426,180000,20.84,20.875,20.785,20.839,200573,0
GEN.US,60,20240426,190000,20.835,20.84,20.735,20.82,171249,0
GEN.US,60,20240426,200000,20.82,20.825,20.73,20.755,98106,0
GEN.US,60,20240426,210000,20.755,20.78,20.72,20.765,113676,0
GEN.US,60,20240426,220000,20.77,20.785,20.625,20.63,1196798,0
GEN.US,60,20240429,160000,20.64,20.98,20.64,20.88,96998,0
GEN.US,60,20240429,170000,20.88,21,20.81,20.82,240973,0
GEN.US,60,20240429,180000,20.825,20.825,20.725,20.785,150385,0
GEN.US,60,20240429,190000,20.79,20.815,20.765,20.785,130210,0
GEN.US,60,20240429,200000,20.78,20.805,20.76,20.79,79006,0
GEN.US,60,20240429,210000,20.78,20.8092,20.695,20.71,121977,0
GEN.US,60,20240429,220000,20.705,20.76,20.61,20.76,1001421,0
GEN.US,60,20240430,160000,20.65,20.84,20.6,20.605,195413,0
GEN.US,60,20240430,170000,20.59,20.695,20.571,20.615,187991,0
GEN.US,60,20240430,180000,20.62,20.63,20.441,20.495,209574,0
GEN.US,60,20240430,190000,20.49,20.49,20.365,20.46,316771,0
GEN.US,60,20240430,200000,20.455,20.52,20.4395,20.5,191890,0
GEN.US,60,20240430,210000,20.505,20.52,20.34,20.38,378475,0
GEN.US,60,20240430,220000,20.38,20.38,20.125,20.14,1223828,0
GEN.US,60,20240501,160000,20.2,20.477,19.91,20.06,281192,0
GEN.US,60,20240501,170000,20.06,20.08,19.92,20.05,689124,0
GEN.US,60,20240501,180000,20.05,20.195,20.035,20.115,448498,0
GEN.US,60,20240501,190000,20.11,20.12,20.015,20.055,326981,0
GEN.US,60,20240501,200000,20.05,20.115,19.99,20.03,350770,0
GEN.US,60,20240501,210000,20.03,20.36,20.02,20.35,487902,0
GEN.US,60,20240501,220000,20.355,20.425,19.94,19.945,1527208,0
GEN.US,60,20240502,160000,20,20.08,19.85,19.855,143468,0
GEN.US,60,20240502,170000,19.855,19.885,19.675,19.795,945090,0
GEN.US,60,20240502,180000,19.795,19.82,19.66,19.69,879647,0
GEN.US,60,20240502,190000,19.685,19.705,19.6,19.66,886478,0
GEN.US,60,20240502,200000,19.66,19.72,19.63,19.675,527219,0
GEN.US,60,20240502,210000,19.675,19.69,19.63,19.67,344753,0
GEN.US,60,20240502,220000,19.67,19.705,19.575,19.675,1256139,0
GEN.US,60,20240503,160000,19.81,19.9,19.69,19.84,605943,0
GEN.US,60,20240503,170000,19.85,19.86,19.655,19.78,484824,0
GEN.US,60,20240503,180000,19.78,19.83,19.735,19.815,412277,0
GEN.US,60,20240503,190000,19.815,19.845,19.78,19.815,311629,0
GEN.US,60,20240503,200000,19.81,19.97,19.81,19.945,695009,0
GEN.US,60,20240503,210000,19.945,19.95,19.85,19.91,289985,0
GEN.US,60,20240503,220000,19.915,20.05,19.9,20.03,1868866,0
GEN.US,60,20240506,160000,20.08,20.08,19.76,19.76,279769,0
GEN.US,60,20240506,170000,19.765,19.975,19.765,19.925,394443,0
GEN.US,60,20240506,180000,19.925,19.955,19.87,19.905,246837,0
GEN.US,60,20240506,190000,19.9,19.96,19.87,19.945,246686,0
GEN.US,60,20240506,200000,19.9426,19.96,19.7,19.81,2306614,0
GEN.US,60,20240506,210000,19.81,19.82,19.64,19.64,507986,0
GEN.US,60,20240506,220000,19.64,19.74,19.64,19.69,1181722,0
GEN.US,60,20240507,160000,19.77,19.94,19.675,19.725,435382,0
GEN.US,60,20240507,170000,19.735,20,19.73,19.96,757730,0
GEN.US,60,20240507,180000,19.965,20.02,19.845,19.875,418990,0
GEN.US,60,20240507,190000,19.876,19.91,19.8,19.875,478559,0
GEN.US,60,20240507,200000,19.875,19.9,19.83,19.855,273718,0
GEN.US,60,20240507,210000,19.855,19.9,19.83,19.8651,283817,0
GEN.US,60,20240507,220000,19.865,19.97,19.855,19.96,940899,0
GEN.US,60,20240508,160000,19.83,19.895,19.66,19.785,201746,0
GEN.US,60,20240508,170000,19.785,19.855,19.705,19.79,361890,0
GEN.US,60,20240508,180000,19.785,19.82,19.76,19.79,130090,0
GEN.US,60,20240508,190000,19.795,19.835,19.76,19.78,188526,0
GEN.US,60,20240508,200000,19.785,19.82,19.76,19.81,232521,0
GEN.US,60,20240508,210000,19.805,19.89,19.8,19.87,283686,0
GEN.US,60,20240508,220000,19.865,20.05,19.85,20.02,1508321,0
GEN.US,60,20240509,160000,20.09,20.235,20.03,20.2012,133568,0
GEN.US,60,20240509,170000,20.21,20.35,20.2,20.285,694212,0
GEN.US,60,20240509,180000,20.285,20.35,20.27,20.31,377146,0
GEN.US,60,20240509,190000,20.305,20.315,20.14,20.145,437933,0
GEN.US,60,20240509,200000,20.15,20.2158,20.14,20.15,371213,0
GEN.US,60,20240509,210000,20.155,20.22,20.135,20.2,449768,0
GEN.US,60,20240509,220000,20.2099,20.37,20.16,20.34,1760751,0
GEN.US,60,20240510,160000,22.47,23.65,22.09,23.565,2278936,0
GEN.US,60,20240510,170000,23.55,23.61,23.16,23.55,2127040,0
GEN.US,60,20240510,180000,23.5365,23.645,23.285,23.395,1033517,0
GEN.US,60,20240510,190000,23.395,23.49,23.3,23.335,1040134,0
GEN.US,60,20240510,200000,23.34,23.48,23.27,23.41,955568,0
GEN.US,60,20240510,210000,23.41,23.46,23.26,23.435,850273,0
GEN.US,60,20240510,220000,23.435,23.48,23.275,23.46,3642506,0
GEN.US,60,20240513,160000,23.5,23.92,23.45,23.905,751076,0
GEN.US,60,20240513,170000,23.905,23.99,23.69,23.9,859172,0
GEN.US,60,20240513,180000,23.905,23.935,23.73,23.7958,737351,0
GEN.US,60,20240513,190000,23.795,23.89,23.67,23.745,664640,0
GEN.US,60,20240513,200000,23.745,23.83,23.635,23.69,557438,0
GEN.US,60,20240513,210000,23.685,23.87,23.64,23.86,1100352,0
GEN.US,60,20240513,220000,23.86,24.145,23.86,24,3069839,0
GEN.US,60,20240514,160000,23.92,24.255,23.79,24.23,579949,0
